                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.51809,                0.29161,                0.95407,                  0.728,                0.85428,                0.75951,                0.61013,                0.84969,                 0.8956,                 1.2968,             0.00023407,             0.00023407,             0.00023407
                     78,                0.51767,                0.29264,                0.95723,                0.77168,                0.86571,                0.82093,                0.65485,                0.85897,                0.75326,                 1.3066,             0.00022507,             0.00022507,             0.00022507
                     79,                0.51098,                0.28647,                0.95438,                0.73211,                0.84445,                0.76381,                0.61308,                0.84113,                0.89719,                 1.3053,             0.00021607,             0.00021607,             0.00021607
                     80,                0.50644,                0.28641,                0.95668,                0.72701,                0.84227,                0.75828,                0.60761,                0.85436,                0.92646,                 1.3172,             0.00020707,             0.00020707,             0.00020707
                     81,                0.50853,                0.28551,                0.95864,                0.74704,                0.86147,                0.78059,                 0.6226,                0.85594,                0.85221,                  1.319,             0.00019807,             0.00019807,             0.00019807
                     82,                0.50334,                0.28071,                0.95407,                0.75804,                0.87907,                0.79748,                0.63721,                0.85076,                0.81808,                 1.3221,             0.00018907,             0.00018907,             0.00018907
                     83,                0.48873,                0.27837,                0.94556,                0.74983,                0.83846,                0.77642,                0.62454,                 0.8429,                0.87393,                  1.319,             0.00018007,             0.00018007,             0.00018007
                     84,                0.48369,                0.27362,                0.93704,                0.73774,                0.83872,                0.75786,                0.61323,                0.83716,                 0.9316,                 1.3155,             0.00017107,             0.00017107,             0.00017107
                     85,                0.47818,                0.27445,                0.93973,                0.74594,                0.85437,                0.77932,                0.62365,                0.84133,                0.84779,                  1.314,             0.00016207,             0.00016207,             0.00016207
                     86,                0.47956,                0.27306,                0.93979,                0.73205,                0.84302,                 0.7545,                0.60825,                0.83322,                0.94325,                 1.3095,             0.00015308,             0.00015308,             0.00015308
                     87,                0.48239,                0.27327,                0.94177,                0.75989,                0.87162,                0.80618,                0.64529,                0.84566,                0.79418,                 1.3248,             0.00014408,             0.00014408,             0.00014408
                     88,                0.47658,                0.27036,                0.94299,                0.72952,                0.85378,                0.75749,                0.61005,                 0.8421,                0.92397,                 1.3241,             0.00013508,             0.00013508,             0.00013508
                     89,                0.46978,                0.26582,                0.93691,                0.73586,                0.85449,                0.75754,                0.61103,                0.83747,                0.90928,                 1.3162,             0.00012608,             0.00012608,             0.00012608
                     90,                0.46403,                0.26356,                0.92765,                0.75408,                0.86616,                0.79723,                0.63859,                0.83968,                 0.8276,                 1.3197,             0.00011708,             0.00011708,             0.00011708
                     91,                0.41263,                0.22306,                0.92043,                 0.7509,                 0.8517,                0.79208,                 0.6289,                0.84366,                0.84796,                 1.3325,             0.00010808,             0.00010808,             0.00010808
                     92,                0.40023,                0.21572,                0.91228,                0.74172,                0.85484,                0.77767,                0.62232,                 0.8414,                0.88229,                 1.3328,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.38237,                0.20606,                0.89633,                0.73492,                0.85033,                0.76085,                0.60999,                0.84154,                0.93165,                 1.3321,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.38147,                0.20513,                0.89817,                0.72173,                0.83671,                0.74446,                0.60014,                0.84052,                0.97073,                  1.336,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.37626,                0.20444,                0.90127,                0.74005,                0.84759,                0.77217,                0.62271,                 0.8384,                0.89498,                 1.3374,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.37105,                0.20146,                 0.8933,                0.74239,                0.84901,                0.77504,                 0.6238,                0.83541,                0.88937,                 1.3365,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.36717,                0.20122,                0.89554,                0.74132,                0.84261,                0.77054,                 0.6211,                0.84216,                0.90594,                  1.343,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.36007,                0.19784,                0.89015,                0.74622,                0.84563,                0.77667,                0.62443,                0.84078,                0.89255,                 1.3448,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.35846,                0.19689,                0.89218,                 0.7433,                0.85317,                0.77459,                 0.6238,                0.83597,                 0.8905,                 1.3397,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.35718,                0.19678,                0.88789,                0.74674,                0.85383,                0.77842,                0.62706,                0.83641,                0.88242,                 1.3414,             2.7088e-05,             2.7088e-05,             2.7088e-05
